axis_id,gene_symbol,axis_label,figure_order
SCFA_axis,ACADS,SCFA,1
SCFA_axis,ACADSB,SCFA,1
SCFA_axis,ACAT1,SCFA,1
SCFA_axis,ECHS1,SCFA,1
SCFA_axis,FFAR2,SCFA,1
SCFA_axis,FFAR3,SCFA,1
SCFA_axis,HADH,SCFA,1
SCFA_axis,HADHB,SCFA,1
SCFA_axis,HCAR2,SCFA,1
SCFA_axis,HDAC1,SCFA,1
SCFA_axis,HDAC2,SCFA,1
SCFA_axis,HDAC3,SCFA,1
SCFA_axis,SLC16A1,SCFA,1
SCFA_axis,SLC16A3,SCFA,1
SCFA_axis,SLC5A8,SCFA,1
Polyamine_axis,AMD1,Polyamine,2
Polyamine_axis,MTAP,Polyamine,2
Polyamine_axis,ODC1,Polyamine,2
Polyamine_axis,PAOX,Polyamine,2
Polyamine_axis,SAT1,Polyamine,2
Polyamine_axis,SMOX,Polyamine,2
Polyamine_axis,SMS,Polyamine,2
Polyamine_axis,SRM,Polyamine,2
Ferroptosis_axis,ACSL4,Ferroptosis,3
Ferroptosis_axis,ALOX12,Ferroptosis,3
Ferroptosis_axis,ALOX5,Ferroptosis,3
Ferroptosis_axis,FTH1,Ferroptosis,3
Ferroptosis_axis,FTL,Ferroptosis,3
Ferroptosis_axis,GPX4,Ferroptosis,3
Ferroptosis_axis,HMOX1,Ferroptosis,3
Ferroptosis_axis,KEAP1,Ferroptosis,3
Ferroptosis_axis,LPCAT3,Ferroptosis,3
Ferroptosis_axis,NCOA4,Ferroptosis,3
Ferroptosis_axis,NFE2L2,Ferroptosis,3
Ferroptosis_axis,SLC40A1,Ferroptosis,3
Ferroptosis_axis,SLC7A11,Ferroptosis,3
Ferroptosis_axis,TFRC,Ferroptosis,3
Trp_axis,AHR,Tryptophan,4
Trp_axis,CYP1A1,Tryptophan,4
Trp_axis,CYP1B1,Tryptophan,4
Trp_axis,IDO1,Tryptophan,4
Trp_axis,IL10,Tryptophan,4
Trp_axis,IL22,Tryptophan,4
Trp_axis,KMO,Tryptophan,4
Trp_axis,KYNU,Tryptophan,4
Trp_axis,RORC,Tryptophan,4
Trp_axis,TDO2,Tryptophan,4
