axis,TME_signature,n,rho,p_value,FDR,axis_label,figure_order
SCFA_axis,CD8_T_cells,614,0.140503466185301,4.8549124060919e-4,8.3227069818719e-4,SCFA,1
SCFA_axis,Cytolytic_activity,614,0.209577451864874,1.70961101364997e-7,3.41922202729995e-7,SCFA,1
SCFA_axis,M1_macrophages,614,0.0423222074200433,0.294993716311261,0.353992459573514,SCFA,1
SCFA_axis,M2_macrophages,614,0.00759334931000951,0.851010653934995,0.875325244047424,SCFA,1
SCFA_axis,NK_cells,614,0.108322356982676,0.00724329210657731,0.0113373267755123,SCFA,1
SCFA_axis,Stromal_like,614,-0.241398470236064,1.5448717514316302e-9,3.4759614407211702e-9,SCFA,1
SCFA_axis,Th17_like,614,0.215507234411951,7.48795667936651e-8,1.58568494386585e-7,SCFA,1
SCFA_axis,Th1_like,614,0.101576641582741,0.0118181521927061,0.0177272282890592,SCFA,1
SCFA_axis,Tregs,614,0.0167706368892735,0.678246744859276,0.718336492703862,SCFA,1
Polyamine_axis,CD8_T_cells,614,0.0361596048436001,0.370969660101661,0.417340867614369,Polyamine,2
Polyamine_axis,Cytolytic_activity,614,0.0739954257681383,0.0669151433219029,0.0892201910958706,Polyamine,2
Polyamine_axis,M1_macrophages,614,-0.040723157363089,0.313628819544124,0.364214113018983,Polyamine,2
Polyamine_axis,M2_macrophages,614,-0.127780118564028,0.0015210869131586,0.00248905131244135,Polyamine,2
Polyamine_axis,NK_cells,614,-0.0477711085170217,0.237138768612649,0.294379161036392,Polyamine,2
Polyamine_axis,Stromal_like,614,-0.174055885879305,1.48696743564717e-5,2.81741198333148e-5,Polyamine,2
Polyamine_axis,Th17_like,614,0.00314675114060948,0.937957758482358,0.937957758482358,Polyamine,2
Polyamine_axis,Th1_like,614,0.0167605796446293,0.678428909775869,0.718336492703862,Polyamine,2
Polyamine_axis,Tregs,614,-0.150403009086124,1.865831066697e-4,3.3584959200546e-4,Polyamine,2
Ferroptosis_axis,CD8_T_cells,614,0.291582410242008,2.18393807683426e-13,6.55181423050279e-13,Ferroptosis,3
Ferroptosis_axis,Cytolytic_activity,614,0.352414276569821,0,0,Ferroptosis,3
Ferroptosis_axis,M1_macrophages,614,0.34688227360086,3.4877350037907396e-19,1.1414405466951499e-18,Ferroptosis,3
Ferroptosis_axis,M2_macrophages,614,0.369212933772137,0,0,Ferroptosis,3
Ferroptosis_axis,NK_cells,614,0.289362765980748,3.36410817473851e-13,9.31599186850664e-13,Ferroptosis,3
Ferroptosis_axis,Stromal_like,614,0.0860842338304196,0.0329764954393181,0.0456597629159789,Ferroptosis,3
Ferroptosis_axis,Th17_like,614,0.0918956104663257,0.0227998642839661,0.0328318045689113,Ferroptosis,3
Ferroptosis_axis,Th1_like,614,0.277107806015969,3.40738357993358e-12,8.76184349125778e-12,Ferroptosis,3
Ferroptosis_axis,Tregs,614,0.270193554006043,1.1964974022531399e-11,2.8715937654075497e-11,Ferroptosis,3
Trp_axis,CD8_T_cells,614,0.586603957499847,0,0,Tryptophan,4
Trp_axis,Cytolytic_activity,614,0.57225994192978,0,0,Tryptophan,4
Trp_axis,M1_macrophages,614,0.78021778859594,0,0,Tryptophan,4
Trp_axis,M2_macrophages,614,0.803189209302277,0,0,Tryptophan,4
Trp_axis,NK_cells,614,0.69527642583151394,0,0,Tryptophan,4
Trp_axis,Stromal_like,614,0.372939453961602,0,0,Tryptophan,4
Trp_axis,Th17_like,614,-0.0591734318701382,0.143009214127573,0.183868989592593,Tryptophan,4
Trp_axis,Th1_like,614,0.613988590470683,0,0,Tryptophan,4
Trp_axis,Tregs,614,0.709595350131437,0,0,Tryptophan,4
